es,var,study_id,factor_1,factor_2,factor_3
-0.141016966134998,0.0287318105852467,1385,Randomized Class, Cyberbullying, Public
-0.0168259831947451,0.0542182090290312,1385,Randomized Class, Aggression/Bullying, Public
-0.218803966612888,0.0226328374129455,1385,Randomized Class, Aggression/Bullying, Public
-2.1869571388537,0.322389503404909,2027,Randomized Individual, Cyberbullying, Public
-1.31158426391567,0.266156948399975,2027,Randomized Individual, Cyberbullying, Public
-0.636255833029502,0.0324,7667,Randomized Individual, Cyberbullying, Public
-0.570671842338451,0.0361,7667,Randomized Individual, Cyberbullying, Public
-0.56,0.0149864357864358,4255,Randomized Class, Cyberbullying, Public
-1.25,0.0190413059163059,4255,Randomized Class, Cyberbullying, Public
-0.0100105706109705,0.0213046350558732,4323,Randomized Class, Cyberbullying, Public
-0.0151848895869587,0.0145090829100475,4323,Randomized Class, Aggression/Bullying, Public
-0.0064416213536121,0.014512165320819,4323,Randomized Class, Aggression/Bullying, Public
0.0255335737186867,0.0221464215685052,4323,Randomized Class, Internalizing, Public
-0.051191030999916697,0.00934885574959677,4719,Randomized Class, Cyberbullying, Public
-0.0541580903911852,0.0093492209097603,4719,Randomized Class, Cyberbullying, Public
-0.158656901850326,0.00937520094918778,4719,Randomized Class, Cyberbullying, Public
-0.0917859580971882,0.00935563628750446,4719,Randomized Class, Cyberbullying, Public
-0.180224991362372,0.0153322980900095,1870,Randomized School, Cyberbullying, Public
-0.183798439482941,0.039972000361376,1870,Randomized School, Cyberbullying, Public
-0.0065833060370166,0.0158026995534382,7688,Randomized School, Cyberbullying, Public
0.0144886160153185,0.0197921639615618,7688,Randomized School, Cyberbullying, Public
0.162093167177412,0.0256029932191494,4705,Randomized Individual, Cyberbullying, Mixture
0.158971024836869,0.0256102389552099,4705,Randomized Individual, Cyberbullying, Mixture
-0.0435375917724755,0.0244746824193103,4133,Randomized Individual, Internalizing, Public
-0.194372211604737,0.00362521721871361,1870,Randomized School, Aggression/Bullying, Public
-0.145557562332521,0.00174394991597582,1870,Randomized School, Aggression/Bullying, Public
-0.122655400770109,0.00158325027084264,1870,Randomized School, Aggression/Bullying, Public
-0.12443883736081,0.00393676556000724,1870,Randomized School, Aggression/Bullying, Public
0.109399744944215,0.00519867318048563,1870,Randomized School, Aggression/Bullying, Public
-0.0859544223600563,0.00118619591281401,1870,Randomized School, Aggression/Bullying, Public
-0.0597641728962009,0.00118411462309795,1870,Randomized School, Aggression/Bullying, Public
-0.0922485564808617,0.00105201772583342,1870,Randomized School, Aggression/Bullying, Public
-0.181765108008623,0.00214496028532103,1870,Randomized School, Aggression/Bullying, Public
-0.105718431921454,0.00174341750494556,1870,Randomized School, Aggression/Bullying, Public
-0.243769293756437,0.00720637754225425,1870,Randomized School, Aggression/Bullying, Public
-0.228047341330494,0.0223865244207147,1870,Randomized School, Relational Aggression, Public
-0.413127829222326,0.016706473093025,1870,Randomized School, Aggression/Bullying, Public
-0.264770840144372,0.0265339119540829,1870,Randomized School, Relational Aggression, Public
-0.307202251150017,0.0464583141255692,1870,Randomized School, Aggression/Bullying, Public
-0.282962235191732,0.0451750226023621,1870,Randomized School, Aggression/Bullying, Public
-0.205272980370622,0.0245214620829119,1870,Randomized School, Aggression/Bullying, Public
-0.236027471736895,0.0202655114466583,1870,Randomized School, Sexual Violence, Public
-0.358204472034988,0.0270520363867165,1870,Randomized School, Cyberbullying, Public
-0.299498119877309,0.00578415953501314,1870,Randomized School, Aggression/Bullying, Public
-0.325332924376472,0.0223885868370563,4555,Randomized Class, Aggression/Bullying, Mixture
-0.545698156128926,0.0252070738696149,4555,Randomized Class, Aggression/Bullying, Mixture
-0.546837646743732,0.0340225667005183,4555,Randomized Class, Relational Aggression, Mixture
-0.800430738013121,0.0224532679901861,4555,Randomized Class, Aggression/Bullying, Mixture
-0.561915076017409,0.030765055364948,4555,Randomized Class, Cyberbullying, Mixture
-0.112542290046179,0.024993036863294,4133,Randomized Individual, Internalizing, Public
-0.222807502920609,0.0360572641106382,4133,Randomized Individual, Cyberbullying, Public
